site,area,Lon,Lat,X_tm35fin,Y_tm35fin
MAL049,KIL,20.73785755,69.07028858,250720.8183998868,7674939.255812165
MAL050,KIL,20.76057704,69.06978105,251616.79114366055,7674790.662806915
MAL051,KIL,20.635806789999997,69.07172272,246687.41596752705,7675516.93605403
MAL052,KIL,20.65539534,69.07049934,247450.60735230538,7675300.295745387
MAL053,KIL,20.66105236,69.06987703,247667.93324134412,7675207.917754525
MAL054,KIL,20.67447745,69.07025979000001,248205.1154757431,7675195.181393192
MAL055,KIL,20.696274500000005,69.07165782999999,249086.164154054,7675260.95815653
MAL056,KIL,20.701281580000007,69.07385877999998,249310.0539695979,7675484.776232741
MAL057,KIL,20.711674160000005,69.07564337000001,249742.8277749694,7675640.393126688
MAL058,KIL,20.723805940000002,69.07555443999999,250223.17888135914,7675581.023596236
MAL059,KIL,20.737108889999995,69.0728674,250720.44927680385,7675228.572566527
MAL060,KIL,20.75487352,69.07550387999999,251455.34893902586,7675449.089929101
MAL061,KIL,20.64481583,69.07536649,247086.97447262728,7675884.1567485975
MAL062,KIL,20.647636030000005,69.07598728999999,247206.02942033092,7675941.424571523
MAL063,KIL,20.666435290000003,69.07598332999999,247951.82449635482,7675863.544557012
MAL064,KIL,20.67822381,69.07514209,248409.86930775616,7675721.723702584
MAL065,KIL,20.69048398,69.07907887999998,248941.44806060637,7676108.423755911
MAL066,KIL,20.697727480000005,69.07762032,249212.0990291257,7675916.859639218
MAL067,KIL,20.7175885,69.07744182,249998.02506456382,7675815.888447678
MAL068,KIL,20.72947349,69.07689647999999,250463.35005210116,7675706.908931968
MAL070,KIL,20.752959340000004,69.08072274999999,251438.63148029163,7676036.207353919
MAL071,KIL,20.635155770000004,69.08122528,246771.47478699146,7676574.337808923
MAL072,KIL,20.65434889,69.08278544999999,247550.73411286296,7676668.30973238
MAL073,KIL,20.660371670000007,69.07880303999998,247743.73400148808,7676201.474984912
MAL074,KIL,20.675131249999996,69.08351618999998,248383.4028280935,7676663.937974384
MAL075,KIL,20.685576650000005,69.08077281999999,248766.2086146761,7676316.565506263
MAL076,KIL,20.700512990000004,69.08462505,249402.7867494996,7676683.006144428
MAL077,KIL,20.707458919999997,69.08061119000001,249632.37587739844,7676209.060828945
MAL078,KIL,20.72399223,69.083196,250317.7102492725,7676428.526981979
MAL079,KIL,20.73412121,69.08443114999999,250733.53854639677,7676524.3988757655
MAL080,KIL,20.751874840000003,69.08593458999998,251454.7788940057,7676619.177927456
MAL081,KIL,20.632277420000005,69.08602587,246712.85429785392,7677119.06172243
MAL082,KIL,20.646246820000002,69.08291688,247230.91355284405,7676716.299363827
MAL083,KIL,20.65943534000001,69.08744253999996,247806.125174112,7677164.281006992
MAL084,KIL,20.680027390000003,69.08604571999999,248606.63896051538,7676924.616723124
MAL085,KIL,20.685673230000003,69.08853098999998,248859.05180366922,7677177.329094985
MAL086,KIL,20.703920240000002,69.08562010999997,249549.30491435382,7676779.530031734
MAL087,KIL,20.707761080000004,69.08634588,249709.92772336997,7676844.399137611
